scenario,method,quantity,rmse,min_coverage,max_coverage,joint_coverage,median_width,width_available,width_missing,empty_sets,unbounded_sets,completed,datasets,diagnostic_fits,median_seconds
linear,unadjusted,itt_y,0.7287459677647626,0.92,0.95,0.9,2.6494878754301117,400,0,0,0,100,100,100,0.001941316295415163
linear,unadjusted,itt_d,0.05820223363411408,0.98,0.98,0.98,0.25621315809097367,400,0,0,0,100,100,100,0.001941316295415163
linear,unadjusted,wald,1.1949597550780378,0.92,0.95,0.91,4.42148405857733,400,0,0,0,100,100,100,0.001941316295415163
linear,linear_ancova,itt_y,0.20660765149455254,0.94,0.99,0.89,0.888652921716814,400,0,0,0,100,100,100,0.0005057305097579956
linear,linear_ancova,itt_d,0.029642863311820353,1.0,1.0,1.0,0.19015792515037086,400,0,0,0,100,100,100,0.0005057305097579956
linear,linear_ancova,wald,0.3474643425691991,0.94,0.98,0.87,1.407337935352286,400,0,0,0,100,100,100,0.0005057305097579956
linear,spline_ancova,itt_y,0.2242348051083025,0.94,0.99,0.9,0.9422150037708611,400,0,0,0,100,100,100,0.0006706565618515015
linear,spline_ancova,itt_d,0.03504338047078618,0.98,0.98,0.98,0.194902956632735,400,0,0,0,100,100,100,0.0006706565618515015
linear,spline_ancova,wald,0.371387852548226,0.95,0.98,0.87,1.5011293231505334,400,0,0,0,100,100,100,0.0006706565618515015
linear,longbet_direct,itt_y,0.23123560054533632,0.91,0.97,0.83,0.8446375322060005,400,0,0,0,100,100,90,22.461858873721212
linear,longbet_direct,itt_d,0.058050588206986595,0.77,0.78,0.76,0.14564881303818505,400,0,0,0,100,100,90,22.461858873721212
linear,longbet_direct,wald,0.35552027179009765,0.97,0.99,0.93,1.6626477648078204,400,0,0,0,100,100,90,22.461858873721212
smooth,unadjusted,itt_y,0.8217540297304616,0.94,0.95,0.91,3.2997178473307143,400,0,0,0,100,100,100,0.0019448455423116684
smooth,unadjusted,itt_d,0.05254462389245926,0.99,0.99,0.99,0.2580157278152597,400,0,0,0,100,100,100,0.0019448455423116684
smooth,unadjusted,wald,1.341494101755925,0.94,0.95,0.92,5.472204684675358,400,0,0,0,100,100,100,0.0019448455423116684
smooth,linear_ancova,itt_y,0.2792992970963034,0.93,0.99,0.88,1.119381951020116,400,0,0,0,100,100,100,0.0004950514994561672
smooth,linear_ancova,itt_d,0.026433603371997322,1.0,1.0,1.0,0.1892770229763271,400,0,0,0,100,100,100,0.0004950514994561672
smooth,linear_ancova,wald,0.464383340121424,0.91,0.97,0.86,1.7704408802254346,400,0,0,0,100,100,100,0.0004950514994561672
smooth,spline_ancova,itt_y,0.25403983882228687,0.96,0.99,0.87,1.054618995267707,400,0,0,0,100,100,100,0.0006736540235579014
smooth,spline_ancova,itt_d,0.03134717252664568,1.0,1.0,1.0,0.19742970368064236,400,0,0,0,100,100,100,0.0006736540235579014
smooth,spline_ancova,wald,0.4088379060893698,0.92,0.95,0.76,1.5245996800774817,400,0,0,0,100,100,100,0.0006736540235579014
smooth,longbet_direct,itt_y,0.2951007515457795,0.88,0.97,0.82,0.9845742379512052,400,0,0,0,100,100,94,22.47024544235319
smooth,longbet_direct,itt_d,0.052626933284433665,0.86,0.87,0.83,0.14663590312415659,400,0,0,0,100,100,94,22.47024544235319
smooth,longbet_direct,wald,0.4245201904158088,0.98,1.0,0.96,2.022795074080002,400,0,0,0,100,100,94,22.47024544235319
abrupt,unadjusted,itt_y,0.720477171615694,0.96,0.99,0.96,3.0709780868467544,400,0,0,0,100,100,100,0.0019675851799547672
abrupt,unadjusted,itt_d,0.05229125165837972,0.98,0.98,0.98,0.25621315809097367,400,0,0,0,100,100,100,0.0019675851799547672
abrupt,unadjusted,wald,1.2453466528932426,0.96,0.99,0.96,5.249960110434579,400,0,0,0,100,100,100,0.0019675851799547672
abrupt,linear_ancova,itt_y,0.2688390996620282,0.88,0.96,0.8,1.034837493604602,400,0,0,0,100,100,100,0.0005047507584095001
abrupt,linear_ancova,itt_d,0.03035993508574066,0.99,0.99,0.99,0.18940900217381385,400,0,0,0,100,100,100,0.0005047507584095001
abrupt,linear_ancova,wald,0.46969959951248474,0.88,0.94,0.77,1.777698545821695,400,0,0,0,100,100,100,0.0005047507584095001
abrupt,spline_ancova,itt_y,0.2352980394547432,0.93,0.97,0.82,0.9448068559582437,400,0,0,0,100,100,100,0.0006806869059801102
abrupt,spline_ancova,itt_d,0.03258655403668985,1.0,1.0,1.0,0.19890319486189867,400,0,0,0,100,100,100,0.0006806869059801102
abrupt,spline_ancova,wald,0.3840541895241229,0.93,0.95,0.79,1.515163551769181,400,0,0,0,100,100,100,0.0006806869059801102
abrupt,longbet_direct,itt_y,0.27304758460398737,0.84,0.99,0.77,0.9685582839665428,400,0,0,0,100,100,99,22.608929408248514
abrupt,longbet_direct,itt_d,0.052993505609078825,0.8,0.81,0.78,0.1463458669892606,400,0,0,0,100,100,99,22.608929408248514
abrupt,longbet_direct,wald,0.4340648315719224,0.98,0.99,0.95,1.8952848005870437,400,0,0,0,100,100,99,22.608929408248514
weak,unadjusted,itt_y,0.7646800632001111,0.95,0.98,0.94,3.254938794654619,400,0,0,0,100,100,100,0.0023321742191910744
weak,unadjusted,itt_d,0.05447189642375232,0.97,0.97,0.97,0.241434236696987,400,0,0,0,100,100,100,0.0023321742191910744
weak,unadjusted,wald,,0.95,0.98,0.94,inf,400,0,0,328,100,100,100,0.0023321742191910744
weak,linear_ancova,itt_y,0.2670293940775122,0.95,0.99,0.89,1.130010996016373,400,0,0,0,100,100,100,0.0006147362291812897
weak,linear_ancova,itt_d,0.03795729478167862,1.0,1.0,1.0,0.18781935785922915,400,0,0,0,100,100,100,0.0006147362291812897
weak,linear_ancova,wald,10.06100594563728,0.91,0.95,0.82,inf,400,0,0,292,100,100,100,0.0006147362291812897
weak,spline_ancova,itt_y,0.2548925333521354,0.95,0.98,0.88,1.072234042065173,400,0,0,0,100,100,100,0.0007835193537175655
weak,spline_ancova,itt_d,0.044584945380371,0.97,0.97,0.97,0.19839815503967645,400,0,0,0,100,100,100,0.0007835193537175655
weak,spline_ancova,wald,6.679786464301267,0.92,0.98,0.85,inf,400,0,0,288,100,100,100,0.0007835193537175655
weak,longbet_direct,itt_y,0.31701348416600467,0.82,0.89,0.68,0.9796548507581337,400,0,0,0,100,100,93,36.075564763043076
weak,longbet_direct,itt_d,0.05720896785546402,0.74,0.76,0.73,0.13553417491249498,400,0,0,0,100,100,93,36.075564763043076
